player,team,era,game,win,lose,save
1승,더보기,1.0,0,0,0,1
플렉센,두산,1.23,2,0,0,0
하영민,키움,1.29,2,0,0,0
화이트,한화,1.86,2,0,0,0
테일러,NC,2.25,2,0,1,0
김진욱,롯데,2.7,2,1,0,0
이승현,삼성,2.89,2,1,0,0
왕옌청,한화,3.68,2,0,1,0
베니지아노,SSG,4.91,2,1,1,0
토다,NC,5.4,2,0,0,0
보쉴리,KT,6.23,2,0,0,0
잭로그,두산,9.0,2,0,1,0
구창모,NC,0.0,1,1,0,0
권민규,한화,0.0,3,1,0,0
김강현,롯데,0.0,1,0,0,0
김기준,롯데,0.0,1,0,0,0
김기훈,KIA,0.0,2,0,0,0
김민,SSG,0.0,2,0,0,1
김범수,KIA,0.0,2,0,0,0
김시훈,KIA,0.0,4,0,0,0
김진성,LG,0.0,2,0,0,0
김태경,NC,0.0,1,0,0,0
김태균,롯데,0.0,1,1,0,0
김현수,KIA,0.0,1,0,0,0
류진욱,NC,0.0,2,0,0,1
문동주,한화,0.0,1,1,0,0
박건우,KT,0.0,1,0,0,0
박신지,두산,0.0,3,1,0,0
박윤성,키움,0.0,2,0,0,0
박재규,한화,0.0,2,0,0,0
박정민,롯데,0.0,3,0,0,1
박준영,한화,0.0,4,0,1,0
박진형,키움,0.0,4,0,0,0
배재환,NC,0.0,2,0,0,1
백승현,LG,0.0,3,0,0,0
서준오,두산,0.0,2,0,0,0
스기모토,KT,0.0,2,0,0,0
알칸타라,키움,0.0,1,1,0,0
양재훈,두산,0.0,2,0,0,0
양창섭,삼성,0.0,1,1,0,0
양현,삼성,0.0,4,0,0,0
엄상백,한화,0.0,1,0,0,0
에르난데스,한화,0.0,1,0,0,0
우규민,KT,0.0,2,0,0,0
유영찬,LG,0.0,1,0,0,0
육선엽,삼성,0.0,4,0,0,1
윤태호,두산,0.0,1,0,0,0
이병헌,두산,0.0,2,0,0,0
이용찬,두산,0.0,2,0,0,0
이우찬,LG,0.0,4,0,0,0
이의리,KIA,0.0,1,1,0,0
